Comment,Designator,Footprint,LCSC,Quantity
STM32WLE5CBUx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C1121847,1
1k,"R10,R9",R_0402_1005Metric,C11702,2
68p,C4,C_0402_1005Metric,C14441,1
100u,"C17,C19",C_0805_2012Metric,C15008,2
AO3401A,Q1,SOT-23,C15127,1
15p,C7,C_0402_1005Metric,C1548,1
10u,"C1,C10,C11,C12,C13,C14,C15,C2,C3",C_0402_1005Metric,C15525,9
2.7p,C6,C_0402_1005Metric,C1561,1
6.8p,C8,C_0402_1005Metric,C1576,1
3.6p,C20,C_0402_1005Metric,C161321,1
1N5819WS,"D2,D3",D_SOD-323,C191023,2
RED,D1,LED_0603_1608Metric,C2286,1
10k,"R1,R2,R5,R6,R7,R8",R_0402_1005Metric,C25744,6
33k,R4,R_0402_1005Metric,C25779,1
4k7,R3,R_0402_1005Metric,C25900,1
10n,L2,L_0402_1005Metric,C27147,1
47n,C5,C_0402_1005Metric,C272875,1
BMI270,U6,Bosch_LGA-14_3x2.5mm_P0.5mm,C2836813,1
W25Q16JVUXIQ,U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,C2843335,1
32MHz,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C383840,1
470n,C9,C_0402_1005Metric,C47339,1
1u,"C16,C18",C_0402_1005Metric,C52923,2
4p,C21,C_0402_1005Metric,C541337,1
XC6206P332MR,U2,SOT-23,C5446,1
18n,L3,L_0402_1005Metric,C86060,1
BOOT,SW1,SW_1TS026A,C913778,1
Pyros,J3,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",C918122,1
YJQ3622A,Q2,Vishay_PowerPAK_1212-8_Dual,C919566,1
68n,L1,L_0402_1005Metric,C98000,1
MS5607-02BA,U3,LGA-8_3x5mm_P1.25mm,C9900023641,1
Conn_01x04_Socket,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,,1
lipo,BT1,TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,,1
30n,L4,L_0402_1005Metric,,1
Buzzer,BZ1,Buzzer_Murata_PKMCS0909E,,1
